0.013758141	0.04724145
0.21577802	0.04720327
0.5069149	0.13408144
0.76010936	0.21340735
1.1784493	0.41176274
1.4953488	0.5591113
1.7365228	0.71025383
1.9521574	0.82738394
2.219078	1.037107
2.523431	1.1939073
2.8656468	1.3488104
3.2581286	1.4753563
3.5489147	1.5206578
3.8521519	1.5451685
4.306633	1.5375233
4.7104173	1.5072093
5.000183	1.4315605
5.327828	1.3559045
5.491395	1.2878389
5.692602	1.1914184
5.9316397	1.0893213
6.258806	0.9569698
6.4220066	0.8454377
6.9763656	0.703594
7.354276	0.59958076
7.719688	0.51068866
7.95906	0.44827834
8.362478	0.3744979
8.892063	0.28935447
9.30806	0.20990208
9.623238	0.15314695
9.711382	0.12478252
9.875125	0.077505276
9.937858	0.030247126
10.000765	0.0037773114

